2020-09-22 09:43:06.226 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 09:45:16.427 | INFO     | G_COMM.runWeizhi:thi_comm:157 - 命令如下：centrifuge-kreport -x /public/hpvc D:/智源代码/高通量测序/file/测试/3.classify/barcode22_report.tsv > D:/智源代码/高通量测序/file/测试/4.report/barcode22_kraken.tsv
2020-09-22 13:25:51.911 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:26:00.545 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'driver', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/driver', 'work_file': 'D:/智源代码/高通量测序/driver'}
2020-09-22 13:27:41.615 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:27:50.148 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'driver', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/driver', 'work_file': 'D:/智源代码/高通量测序/driver'}
2020-09-22 13:28:40.636 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:28:50.897 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-22 13:30:13.022 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:30:22.734 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-22 13:32:12.016 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:33:19.903 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-22 13:33:26.042 | INFO     | G_COMM.runJinhuashu:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-22 13:33:26.054 | INFO     | G_COMM.runJinhuashu:run_comm:71 - snakemake的命令如下：cd /home/test/ncov;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-22 14:45:30.932 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:47:22.801 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:47:32.646 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:47:32.659 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-23 09:47:32.663 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-23 09:48:33.436 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:48:40.649 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:48:41.660 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-23 09:48:41.664 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-23 09:54:29.248 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:54:39.621 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:55:53.097 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:55:59.082 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:55:59.098 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-23 09:55:59.102 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-23 09:58:02.534 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:58:13.441 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:58:14.490 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-23 09:58:14.495 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-23 09:59:02.539 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 09:59:09.270 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 09:59:10.182 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-23 09:59:10.186 | INFO     | G_COMM.runSnakemake:nuoru_comm:143 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-23 10:04:30.016 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 10:04:37.726 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 10:33:01.208 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-23 10:33:10.436 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-23 12:01:00.070 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 08:59:29.534 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 09:01:10.009 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 11:55:41.618 | ERROR    | __main__:get_result:87 - selenium运行失败,[Errno 2] No such file or directory: 'D:/智源代码/高通量测序/file/高通量测序/4.mapping/NB21.consensus.fasta'
2020-09-24 13:49:14.445 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 13:49:28.925 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '未知病原', 'task_name': '测试', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/数据采集/测试', 'work_file': 'D:/智源代码/高通量测序/file'}
2020-09-24 13:49:30.519 | INFO     | G_COMM.runWeizhi:merge_file:89 - 合并文件的命令如下：cat D:/智源代码/数据采集/测试/fastq_pass/barcode21/*.fastq > D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq
2020-09-24 13:49:31.257 | INFO     | G_COMM.runWeizhi:merge_file:100 - 合并文件 执行成功
2020-09-24 13:49:31.257 | INFO     | G_COMM.runWeizhi:merge_file:101 - 
2020-09-24 13:49:31.257 | INFO     | G_COMM.runWeizhi:secnod_comm:123 - 命令如下：centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode21.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv
2020-09-24 13:49:31.281 | ERROR    | G_COMM.runWeizhi:secnod_comm:147 - 测试 centrifuge 执行失败！：Command 'centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode21.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv' returned non-zero exit status 1.
2020-09-24 14:17:34.487 | ERROR    | __main__:open_weizhi:106 - 网页打开失败,Message: no such element: Unable to locate element: {"method":"css selector","selector":"[id="datafile-file_upload"]"}
  (Session info: chrome=85.0.4183.121)

2020-09-24 14:47:28.246 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 14:47:57.216 | INFO     | mainwindow:open_file:952 - ********************当前任务名称为测试
当前打开的文件为D:/智源代码/高通量测序/file/测试/4.report/test.tsv
2020-09-24 14:48:09.937 | ERROR    | webShow:open_weizhi:106 - 网页打开失败,Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=85.0.4183.121)

2020-09-24 14:49:24.272 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 14:49:28.444 | INFO     | mainwindow:open_file:952 - ********************当前任务名称为测试
当前打开的文件为D:/智源代码/高通量测序/file/测试/4.report/test.tsv
2020-09-24 15:13:06.555 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 15:24:25.730 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 15:42:19.075 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 15:43:35.072 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 15:44:19.499 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 15:44:31.893 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 15:45:07.955 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 15:45:20.019 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-序列分析', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 15:45:20.031 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/nextstrain_analysis_strain.py D:/智源代码/高通量测序/fast5
2020-09-24 15:45:20.036 | INFO     | G_COMM.runSnakemake:nuoru_comm:142 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/nextstrain_analysis_strain.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-24 15:50:52.028 | INFO     | G_COMM.runJinhuashu:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 15:50:53.289 | INFO     | G_COMM.runJinhuashu:run_comm:68 - snakemake的命令如下：cd D:/智源代码/高通量测序/fast5;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-24 16:03:57.577 | INFO     | mainwindow:open_file:952 - ********************当前任务名称为测试
当前打开的文件为D:/智源代码/高通量测序/file/测试/4.report/test - 副本 (3).tsv
2020-09-24 16:13:12.692 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:20:22.778 | INFO     | G_COMM.runSnakemake:__init__:31 - 程序运行参数为：{'task_type': '诺如病毒', 'task_name': 'fast5', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序/fast5', 'work_file': 'D:/智源代码/高通量测序/fast5'}
2020-09-24 16:20:23.948 | INFO     | G_COMM.runSnakemake:copy_file:73 - 复制文件的命令如下：cp D:/智源代码/高通量测序/G_CONFIG/sewageNoVtyping_Corpath.py D:/智源代码/高通量测序/fast5
2020-09-24 16:20:23.952 | INFO     | G_COMM.runSnakemake:nuoru_comm:142 - 命令如下：snakemake -s D:/智源代码/高通量测序/fast5/sewageNoVtyping_Corpath.py --config path=D:/智源代码/高通量测序/fast5 -j 4 -F
2020-09-24 16:25:13.454 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '未知病原', 'task_name': '测试', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/数据采集/测试', 'work_file': 'D:/智源代码/高通量测序/file'}
2020-09-24 16:25:14.626 | INFO     | G_COMM.runWeizhi:merge_file:89 - 合并文件的命令如下：cat D:/智源代码/数据采集/测试/fastq_pass/barcode21/*.fastq > D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq
2020-09-24 16:25:24.632 | INFO     | G_COMM.runWeizhi:secnod_comm:124 - 命令如下：centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode21.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode21.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv
2020-09-24 16:25:24.637 | INFO     | G_COMM.runWeizhi:thi_comm:158 - 命令如下：centrifuge-kreport -x /public/hpvc D:/智源代码/高通量测序/file/测试/3.classify/barcode21_report.tsv > D:/智源代码/高通量测序/file/测试/4.report/barcode21_kraken.tsv
2020-09-24 16:25:24.642 | INFO     | G_COMM.runWeizhi:merge_file:89 - 合并文件的命令如下：cat D:/智源代码/数据采集/测试/fastq_pass/barcode22/*.fastq > D:/智源代码/高通量测序/file/测试/2.fastq/barcode22.fastq
2020-09-24 16:25:34.648 | INFO     | G_COMM.runWeizhi:secnod_comm:124 - 命令如下：centrifuge -p 8 -x /public/hpvc -U D:/智源代码/高通量测序/file/测试/2.fastq/barcode22.fastq -S D:/智源代码/高通量测序/file/测试/3.classify/barcode22.tsv --report-file D:/智源代码/高通量测序/file/测试/3.classify/barcode22_report.tsv
2020-09-24 16:25:34.652 | INFO     | G_COMM.runWeizhi:thi_comm:158 - 命令如下：centrifuge-kreport -x /public/hpvc D:/智源代码/高通量测序/file/测试/3.classify/barcode22_report.tsv > D:/智源代码/高通量测序/file/测试/4.report/barcode22_kraken.tsv
2020-09-24 16:26:09.835 | ERROR    | webShow:open_weizhi:106 - 网页打开失败,Message: chrome not reachable
  (Session info: chrome=85.0.4183.121)

2020-09-24 16:43:06.504 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:43:50.319 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:45:45.235 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:46:19.604 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:46:41.896 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:47:52.434 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:48:22.041 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:49:10.376 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:50:54.848 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:52:18.135 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:54:41.987 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:55:06.837 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 16:56:59.224 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 17:29:41.895 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 19:30:37.351 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 19:30:39.468 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{}
2020-09-24 19:31:47.238 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 19:31:49.358 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：['', '', '', '', '']
2020-09-24 19:32:46.231 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-24 19:32:49.465 | INFO     | G_COMM.runWeizhi:__init__:32 - 程序运行参数为：{'task_type': '', 'task_name': '', 'sample_list': '', 'barcode_list': '', 'file_path': '', 'work_file': ''}
2020-09-24 19:32:49.466 | INFO     | G_COMM.runWeizhi:run_R:188 - 命令如下：Rscript D:/智源代码/高通量测序/G_CONFIG/runapp.R > D:/智源代码/高通量测序/G_CONFIG/R.log 2>&1 &
2020-09-24 19:32:49.481 | INFO     | G_COMM.runWeizhi:run_R:193 - Rscript 执行成功
2020-09-24 19:32:49.481 | INFO     | G_COMM.runWeizhi:run_R:194 - 
2020-09-25 09:25:09.120 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 09:58:14.599 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 09:58:26.669 | INFO     | G_COMM.runJinhuashu:__init__:31 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 09:58:26.684 | INFO     | G_COMM.runJinhuashu:run_comm:68 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 09:58:36.715 | ERROR    | G_COMM.runJinhuashu:run_comm:94 - 高通量测序 snakemake 执行失败！：Command 'cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10' returned non-zero exit status 1.
2020-09-25 10:07:40.422 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 10:07:51.269 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 10:07:52.582 | INFO     | G_COMM.runJinhuashu:run_comm:70 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 10:08:50.105 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 10:08:59.333 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 10:09:00.789 | INFO     | G_COMM.runJinhuashu:run_comm:70 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 10:15:47.123 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 10:15:57.525 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 10:15:58.707 | INFO     | G_COMM.runJinhuashu:run_comm:69 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 10:18:10.002 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 10:18:19.547 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 10:18:19.559 | INFO     | G_COMM.runJinhuashu:run_comm:70 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 10:18:29.580 | ERROR    | G_COMM.runJinhuashu:run_comm:96 - 高通量测序 snakemake 执行失败！：
2020-09-25 10:19:08.023 | INFO     | __main__:get_user:129 - admin 开始登录********
2020-09-25 10:19:17.436 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '高通量测序', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码/高通量测序', 'work_file': 'D:/智源代码/高通量测序'}
2020-09-25 10:19:18.247 | INFO     | G_COMM.runJinhuashu:run_comm:70 - snakemake的命令如下：cd D:/智源代码/高通量测序;snakemake --profile my_profiles/getting_started/ -j 10
2020-09-25 10:19:18.274 | ERROR    | G_COMM.runJinhuashu:run_comm:96 - 高通量测序 snakemake 执行失败！：
2020-09-25 10:20:00.259 | INFO     | G_COMM.runJinhuashu:__init__:32 - 程序运行参数为：{'task_type': '新冠病毒-分子进化树', 'task_name': '智源代码', 'sample_list': '', 'barcode_list': '', 'file_path': 'D:/智源代码', 'work_file': 'D:/智源代码'}
